,event,nHits,hitTime,isDN,pmt_id,pmt_x,pmt_y,pmt_z
80557436,22,12466,194.44142,False,12890,-15890.313,3124.3520000000003,-10313.892
80578187,22,12466,166.44873,False,14384,-8790.157,15575.056999999999,-6985.0376
80594035,22,12466,127.082634,False,11392,-6110.684,12200.747,-13507.083999999999
80604386,22,12466,179.3097,False,14845,-17415.152,-5265.385,-6134.181
80636201,22,12466,163.87985,False,9708,-556.4148,8311.879,-17298.645
80682599,22,12466,124.86029,False,9884,7113.9067,5817.0127,-16858.074
80713366,22,12466,211.29744,False,14086,8430.394,-15346.421,-7877.552
80738680,22,12466,88.4301,False,13213,6604.922,15336.831,-9476.107
80738681,22,12466,112.78622,False,13213,6604.922,15336.831,-9476.107
80744025,22,12466,150.72412,False,9383,4863.402,4366.41,-18053.305
80744026,22,12466,148.50914,False,9383,4863.402,4366.41,-18053.305
80774120,22,12466,137.38322,False,13627,-13079.024,11053.823999999999,-8682.860999999999
80779526,22,12466,135.29994,False,13047,-6514.647,15127.21,-9867.466999999999
80779527,22,12466,112.106895,False,13047,-6514.647,15127.21,-9867.466999999999
80794829,22,12466,156.03983,False,11723,-14214.226,1125.7489,-12858.013
80851136,22,12466,84.77816,False,13992,-2918.2095,17264.652,-7877.552
80851137,22,12466,94.26679,False,13992,-2918.2095,17264.652,-7877.552
80851138,22,12466,97.13826,False,13992,-2918.2095,17264.652,-7877.552
80866041,22,12466,113.1502,False,16919,-13240.624,13804.635,-1660.7045
80871436,22,12466,200.6814,False,16964,-17266.598,-8230.835,-1660.7045
80881782,22,12466,189.92836,False,14189,-12152.579,12850.536,-7471.1797
80892305,22,12466,134.6826,False,5288,17134.621,-3604.0142,7877.552
80902619,22,12466,514.9134,False,11120,-12786.281,1996.1603,-14183.3125
80962537,22,12466,320.53873,False,10716,-11353.528,-3633.5240000000003,-15051.076000000001
80962538,22,12466,171.96858,False,10716,-11353.528,-3633.5240000000003,-15051.076000000001
81055224,22,12466,-42.961678,True,15748,14586.007,-11682.08,-4406.5186
81065115,22,12466,353.04846,False,15741,11894.941,-14412.944,-4406.5186
81106837,22,12466,183.07155,False,11277,-10901.73,-7660.255999999999,-13824.354
